frame,cx,cy,x,y,w,h,yolo_conf,group_id
212,224.0,242.0,219.0,236.0,10.0,12.0,,4.0
213,224.0,236.0,219.0,230.0,10.0,12.0,,4.0
214,223.0,229.0,218.0,223.0,10.0,12.0,,4.0
215,223.0,223.0,218.0,217.0,10.0,12.0,,4.0
216,221.0,218.0,216.0,212.0,10.0,12.0,,4.0
217,220.0,214.0,215.0,208.0,10.0,12.0,,4.0
218,219.0,207.0,214.0,201.0,10.0,12.0,,4.0
219,220.0,206.0,215.0,200.0,10.0,12.0,,4.0
220,217.0,198.0,212.0,192.0,10.0,12.0,,4.0
221,216.0,195.0,211.0,189.0,10.0,12.0,,4.0
222,216.0,193.0,211.0,187.0,10.0,12.0,,4.0
223,215.0,189.0,210.0,183.0,10.0,12.0,,4.0
224,214.0,187.0,209.0,181.0,10.0,12.0,,4.0
225,213.0,186.0,208.0,180.0,10.0,12.0,,4.0
226,216.0,187.0,211.0,181.0,10.0,12.0,,4.0
227,212.0,191.0,207.0,185.0,10.0,12.0,,4.0
228,209.0,193.0,204.0,187.0,10.0,12.0,,4.0
229,206.0,196.0,201.0,190.0,10.0,12.0,,4.0
230,205.0,201.0,200.0,195.0,10.0,12.0,,4.0
231,203.0,202.0,198.0,196.0,10.0,12.0,,4.0
232,201.0,200.0,196.0,194.0,10.0,12.0,,4.0
233,199.0,198.0,194.0,192.0,10.0,12.0,,4.0
234,197.0,197.0,192.0,191.0,10.0,12.0,,4.0
235,196.0,201.0,191.0,195.0,10.0,12.0,,4.0
236,194.0,201.0,189.0,195.0,10.0,12.0,,4.0
237,192.0,200.0,187.0,194.0,10.0,12.0,,4.0
238,191.0,202.0,186.0,196.0,10.0,12.0,,4.0
239,189.0,203.0,184.0,197.0,10.0,12.0,,4.0
240,188.0,205.0,183.0,199.0,10.0,12.0,,4.0
241,188.0,208.0,183.0,202.0,10.0,12.0,,4.0
242,188.0,188.5,182.0,183.0,12.0,11.0,,4.0
243,184.0,190.5,178.0,185.0,12.0,11.0,,4.0
244,185.0,188.5,179.0,183.0,12.0,11.0,,4.0
245,184.0,187.5,178.0,182.0,12.0,11.0,,4.0
246,183.0,187.5,177.0,182.0,12.0,11.0,,4.0
247,182.0,186.5,176.0,181.0,12.0,11.0,,4.0
248,181.0,186.5,175.0,181.0,12.0,11.0,,4.0
249,179.0,186.5,173.0,181.0,12.0,11.0,,4.0
250,178.0,187.5,172.0,182.0,12.0,11.0,,4.0
251,177.0,187.5,171.0,182.0,12.0,11.0,,4.0
252,174.0,189.5,168.0,184.0,12.0,11.0,,4.0
253,174.0,192.5,168.0,187.0,12.0,11.0,,4.0
254,172.0,193.5,166.0,188.0,12.0,11.0,,4.0
255,169.0,194.5,163.0,189.0,12.0,11.0,,4.0
256,168.0,194.5,162.0,189.0,12.0,11.0,,4.0
257,166.0,194.5,160.0,189.0,12.0,11.0,,4.0
258,166.0,192.5,160.0,187.0,12.0,11.0,,4.0
259,163.0,192.5,157.0,187.0,12.0,11.0,,4.0
260,162.0,192.5,156.0,187.0,12.0,11.0,,4.0
261,162.0,192.5,156.0,187.0,12.0,11.0,,4.0
