frame,cx,cy,x,y,w,h,yolo_conf,group_id
276,58.0,206.5,52.0,201.0,12.0,11.0,0.579,3.0
277,53.5,205.0,48.0,200.0,11.0,10.0,0.721,3.0
278,48.5,202.5,42.0,197.0,13.0,11.0,0.739,3.0
279,44.5,198.0,37.0,192.0,15.0,12.0,0.79,3.0
280,42.0,193.5,34.0,188.0,16.0,11.0,0.803,3.0
281,39.0,189.5,31.0,184.0,16.0,11.0,,3.0
282,34.5,186.5,28.0,181.0,13.0,11.0,0.63,3.0
283,31.0,183.5,24.0,178.0,14.0,11.0,0.71,3.0
284,27.0,181.0,21.0,175.0,12.0,12.0,0.724,3.0
285,24.0,179.0,18.0,173.0,12.0,12.0,0.634,3.0
286,20.0,178.0,14.0,172.0,12.0,12.0,,3.0
287,18.0,177.0,12.0,171.0,12.0,12.0,,3.0
288,14.0,176.0,8.0,170.0,12.0,12.0,,3.0
289,13.5,176.5,10.0,171.0,7.0,11.0,,3.0
290,10.5,178.5,7.0,173.0,7.0,11.0,,3.0
291,6.5,178.5,3.0,173.0,7.0,11.0,,3.0
292,3.5,179.5,0.0,174.0,7.0,11.0,0.515,3.0
293,1.5,181.5,-2.0,176.0,7.0,11.0,,3.0
294,-0.5,182.5,-4.0,177.0,7.0,11.0,,3.0
295,-0.5,181.5,-4.0,176.0,7.0,11.0,,3.0
296,-0.5,181.5,-4.0,176.0,7.0,11.0,,3.0
297,-0.5,181.5,-4.0,176.0,7.0,11.0,,3.0
298,2.5,182.5,-1.0,177.0,7.0,11.0,,3.0
299,1.5,181.5,-2.0,176.0,7.0,11.0,,3.0
300,2.5,180.5,-1.0,175.0,7.0,11.0,,3.0
301,5.5,182.5,2.0,177.0,7.0,11.0,,3.0
302,11.5,185.5,8.0,180.0,7.0,11.0,,3.0
303,12.5,187.5,9.0,182.0,7.0,11.0,,3.0
304,10.5,187.5,7.0,182.0,7.0,11.0,,3.0
305,8.5,189.5,5.0,184.0,7.0,11.0,,3.0
306,5.5,188.5,2.0,183.0,7.0,11.0,,3.0
307,3.5,188.5,0.0,183.0,7.0,11.0,,3.0
308,1.5,188.5,-2.0,183.0,7.0,11.0,,3.0
309,-0.5,188.5,-4.0,183.0,7.0,11.0,,3.0
310,-0.5,187.5,-4.0,182.0,7.0,11.0,,3.0
311,0.5,184.5,-3.0,179.0,7.0,11.0,,3.0
312,0.5,183.5,-3.0,178.0,7.0,11.0,,3.0
313,3.5,182.5,0.0,177.0,7.0,11.0,,3.0
314,9.5,182.5,6.0,177.0,7.0,11.0,,3.0
315,7.5,180.5,4.0,175.0,7.0,11.0,,3.0
316,,,,,,,,
317,,,,,,,,
318,8.5,183.5,5.0,178.0,7.0,11.0,,3.0
319,,,,,,,,
320,,,,,,,,
321,,,,,,,,
322,,,,,,,,
323,,,,,,,,
324,,,,,,,,
325,,,,,,,,
326,,,,,,,,
327,,,,,,,,
328,,,,,,,,
329,,,,,,,,
330,,,,,,,,
331,,,,,,,,
332,,,,,,,,
333,8.5,183.5,5.0,178.0,7.0,11.0,,3.0
334,8.5,183.5,5.0,178.0,7.0,11.0,,3.0
335,8.5,183.5,5.0,178.0,7.0,11.0,,3.0
336,5.5,180.5,2.0,175.0,7.0,11.0,,3.0
337,5.5,184.5,2.0,179.0,7.0,11.0,,3.0
338,5.5,184.5,2.0,179.0,7.0,11.0,,3.0
339,5.5,184.5,2.0,179.0,7.0,11.0,,3.0
340,,,,,,,,
341,,,,,,,,
342,,,,,,,,
343,,,,,,,,
344,,,,,,,,
345,,,,,,,,
346,,,,,,,,
347,,,,,,,,
348,,,,,,,,
349,,,,,,,,
350,,,,,,,,
351,,,,,,,,
352,,,,,,,,
353,,,,,,,,
354,,,,,,,,
355,,,,,,,,
356,,,,,,,,
357,6.5,184.5,3.0,179.0,7.0,11.0,,3.0
358,,,,,,,,
359,3.5,183.5,0.0,178.0,7.0,11.0,,3.0
360,,,,,,,,
361,,,,,,,,
362,0.5,211.0,-8.0,203.0,17.0,16.0,,3.0
363,7.0,204.5,-1.0,197.0,16.0,15.0,,3.0
364,13.5,200.0,5.0,192.0,17.0,16.0,,3.0
365,23.5,195.0,15.0,187.0,17.0,16.0,,3.0
366,33.5,191.0,25.0,183.0,17.0,16.0,,3.0
367,45.5,188.0,37.0,180.0,17.0,16.0,0.682,3.0
368,56.0,186.5,48.0,178.0,16.0,17.0,0.71,3.0
369,65.5,186.0,56.0,176.0,19.0,20.0,0.698,3.0
370,73.5,189.5,64.0,180.0,19.0,19.0,0.72,3.0
371,80.5,196.5,71.0,186.0,19.0,21.0,0.717,3.0
372,85.0,206.0,76.0,196.0,18.0,20.0,0.727,3.0
373,87.5,218.5,80.0,210.0,15.0,17.0,0.762,3.0
374,84.5,230.5,77.0,222.0,15.0,17.0,,3.0
375,77.5,239.5,70.0,231.0,15.0,17.0,,3.0
376,82.5,247.5,75.0,239.0,15.0,17.0,,3.0
377,83.5,245.5,76.0,237.0,15.0,17.0,,3.0
378,57.0,242.5,49.0,235.0,16.0,15.0,,3.0
379,51.0,231.5,43.0,224.0,16.0,15.0,,3.0
380,46.0,222.5,38.0,215.0,16.0,15.0,,3.0
381,44.0,214.5,36.0,207.0,16.0,15.0,0.651,3.0
382,42.0,208.0,34.0,201.0,16.0,14.0,0.682,3.0
383,40.5,200.5,32.0,193.0,17.0,15.0,0.766,3.0
384,38.5,194.5,29.0,186.0,19.0,17.0,0.785,3.0
385,38.0,191.5,29.0,184.0,18.0,15.0,0.856,3.0
386,39.0,191.0,30.0,183.0,18.0,16.0,0.838,3.0
387,41.5,193.0,32.0,185.0,19.0,16.0,0.869,3.0
388,46.0,197.5,37.0,189.0,18.0,17.0,0.787,3.0
389,50.5,205.5,42.0,198.0,17.0,15.0,0.726,3.0
390,56.0,214.5,49.0,206.0,14.0,17.0,0.736,3.0
391,62.0,225.5,55.0,217.0,14.0,17.0,,3.0
392,75.5,242.0,65.0,231.0,21.0,22.0,,3.0
393,85.5,256.0,75.0,245.0,21.0,22.0,0.625,3.0
394,93.5,259.0,83.0,248.0,21.0,22.0,,3.0
395,102.5,243.0,95.0,235.0,15.0,16.0,,3.0
396,111.5,236.0,104.0,228.0,15.0,16.0,0.747,3.0
397,114.5,229.5,106.0,221.0,17.0,17.0,0.709,3.0
398,119.5,224.0,111.0,215.0,17.0,18.0,0.655,3.0
399,124.5,219.0,116.0,210.0,17.0,18.0,,3.0
400,127.5,216.0,118.0,208.0,19.0,16.0,0.617,3.0
401,129.5,214.5,121.0,205.0,17.0,19.0,0.745,3.0
402,130.5,215.0,122.0,206.0,17.0,18.0,0.735,3.0
403,130.5,219.0,122.0,210.0,17.0,18.0,,3.0
404,126.5,225.0,118.0,216.0,17.0,18.0,,3.0
405,,,,,,,,
406,,,,,,,,
407,98.0,255.5,91.0,248.0,14.0,15.0,,4.0
408,92.0,250.5,85.0,243.0,14.0,15.0,,4.0
409,84.0,244.5,77.0,237.0,14.0,15.0,,4.0
410,78.0,236.5,71.0,229.0,14.0,15.0,0.672,4.0
411,75.5,228.5,68.0,221.0,15.0,15.0,0.761,4.0
412,74.0,223.0,66.0,216.0,16.0,14.0,0.749,4.0
413,75.5,217.0,69.0,210.0,13.0,14.0,0.828,4.0
414,77.5,213.5,70.0,207.0,15.0,13.0,0.808,4.0
415,82.5,210.5,75.0,204.0,15.0,13.0,0.774,4.0
416,90.5,210.0,83.0,203.0,15.0,14.0,0.765,4.0
417,98.5,213.0,91.0,206.0,15.0,14.0,,4.0
418,116.5,234.0,109.0,227.0,15.0,14.0,,4.0
419,117.5,230.0,110.0,223.0,15.0,14.0,0.714,4.0
420,126.0,238.0,118.0,230.0,16.0,16.0,0.607,4.0
