frame,cx,cy,x,y,w,h,conf
407,241.0,144.0,230,133,22,22,0.808
408,241.0,144.0,230,133,22,22,0.801
409,241.0,144.0,230,133,22,22,0.799
410,241.0,144.0,230,133,22,22,0.799
411,241.0,143.5,230,133,22,21,0.798
412,241.0,144.0,230,133,22,22,0.794
413,241.0,143.5,230,133,22,21,0.793
414,241.0,143.5,230,133,22,21,0.793
415,240.5,144.0,230,133,21,22,0.792
416,241.0,144.0,230,133,22,22,0.793
417,241.0,144.0,230,133,22,22,0.795
418,241.0,144.0,230,133,22,22,0.793
419,241.0,144.0,230,133,22,22,0.792
420,241.0,143.5,230,133,22,21,0.807
421,241.0,143.5,230,133,22,21,0.808
422,241.0,143.0,230,132,22,22,0.807
423,241.0,143.0,230,132,22,22,0.807
424,241.0,143.0,230,132,22,22,0.806
425,241.0,143.0,230,132,22,22,0.807
426,241.0,143.0,230,132,22,22,0.804
427,241.0,143.0,230,132,22,22,0.799
428,241.0,143.0,230,132,22,22,0.802
429,241.0,143.0,230,132,22,22,0.804
430,241.0,143.0,230,132,22,22,0.802
431,241.0,143.0,230,132,22,22,0.801
432,241.0,143.0,230,132,22,22,0.803
433,241.0,143.0,230,132,22,22,0.802
434,241.0,143.0,230,132,22,22,0.805
435,241.0,143.5,230,133,22,21,0.799
436,241.0,143.5,230,133,22,21,0.798
437,241.0,143.5,230,133,22,21,0.799
438,241.0,143.5,230,133,22,21,0.798
439,241.0,143.5,230,133,22,21,0.8
440,241.0,143.5,230,133,22,21,0.8
441,241.0,143.5,230,133,22,21,0.806
442,241.0,143.5,230,133,22,21,0.806
443,241.0,143.5,230,133,22,21,0.807
444,241.0,143.5,230,133,22,21,0.811
445,241.0,143.5,230,133,22,21,0.812
446,241.0,143.0,230,132,22,22,0.814
447,241.0,143.0,230,132,22,22,0.815
448,241.0,143.0,230,132,22,22,0.816
449,241.0,143.0,230,132,22,22,0.814
450,241.0,143.5,230,133,22,21,0.811
451,241.0,143.5,230,133,22,21,0.809
452,241.0,143.5,230,133,22,21,0.809
453,241.0,143.5,230,133,22,21,0.81
454,241.0,143.5,230,132,22,23,0.806
455,241.0,143.5,230,132,22,23,0.808
456,241.0,143.5,230,132,22,23,0.803
457,241.0,143.5,230,132,22,23,0.806
458,241.0,143.5,230,132,22,23,0.804
459,241.0,143.5,230,132,22,23,0.805
460,241.0,143.5,230,132,22,23,0.801
461,241.0,143.5,230,132,22,23,0.792
462,241.0,143.5,230,132,22,23,0.798
463,241.0,143.5,230,132,22,23,0.801
464,241.0,143.5,230,132,22,23,0.805
465,241.0,143.5,230,132,22,23,0.805
466,241.0,143.5,230,132,22,23,0.806
467,241.0,143.5,230,132,22,23,0.807
468,241.0,143.5,230,132,22,23,0.8
469,241.0,143.5,230,132,22,23,0.803
470,241.0,143.5,230,132,22,23,0.805
471,241.0,143.5,230,132,22,23,0.806
472,241.0,144.0,230,133,22,22,0.804
473,241.0,144.0,230,133,22,22,0.803
474,241.0,144.0,230,133,22,22,0.807
475,241.0,144.0,230,133,22,22,0.81
476,241.0,144.0,230,133,22,22,0.809
477,241.0,144.0,230,133,22,22,0.808
478,241.0,144.0,230,133,22,22,0.807
479,241.0,143.5,230,132,22,23,0.808
480,241.0,143.5,230,133,22,21,0.797
481,241.0,143.5,230,133,22,21,0.797
482,241.0,143.5,230,133,22,21,0.793
483,241.0,143.5,230,133,22,21,0.792
484,241.0,143.5,230,133,22,21,0.791
485,241.0,143.5,230,133,22,21,0.791
486,240.5,144.0,230,134,21,20,0.76
487,240.5,144.0,230,134,21,20,0.759
488,240.5,143.0,230,132,21,22,0.801
489,241.0,143.0,230,132,22,22,0.815
490,241.0,143.0,230,132,22,22,0.81
491,240.5,143.0,229,133,23,20,0.757
492,239.5,143.5,229,133,21,21,0.751
493,239.5,143.5,229,133,21,21,0.75
494,240.0,143.5,229,133,22,21,0.743
495,240.0,143.5,229,133,22,21,0.724
496,240.5,144.0,230,133,21,22,0.767
497,240.5,143.0,230,132,21,22,0.681
498,241.0,140.0,231,132,20,16,0.607
499,242.0,139.5,232,132,20,15,0.645
500,242.5,141.0,233,132,19,18,0.784
501,242.0,141.0,232,132,20,18,0.801
502,242.5,142.0,232,133,21,18,0.803
503,241.5,142.5,230,133,23,19,0.813
504,241.5,142.5,230,133,23,19,0.817
505,241.5,143.0,230,133,23,20,0.817
506,241.0,143.0,230,133,22,20,0.814
507,241.0,143.0,230,133,22,20,0.792
508,240.0,143.0,229,133,22,20,0.78
509,240.0,143.0,229,133,22,20,0.782
510,240.0,143.0,229,133,22,20,0.788
511,240.0,143.0,229,133,22,20,0.794
512,240.0,143.0,229,133,22,20,0.794
513,240.0,143.0,229,133,22,20,0.787
514,240.0,143.0,229,133,22,20,0.786
515,240.0,143.0,229,133,22,20,0.777
516,240.5,143.0,230,133,21,20,0.783
517,240.5,143.0,230,133,21,20,0.792
518,240.5,143.0,230,133,21,20,0.803
519,241.0,143.0,231,133,20,20,0.817
520,241.0,143.0,231,133,20,20,0.817
521,241.0,143.0,231,133,20,20,0.817
522,241.0,143.0,231,133,20,20,0.819
523,240.5,143.0,230,133,21,20,0.817
524,240.5,143.0,230,133,21,20,0.806
